Participant,Participant,Dictator,Dictator,Dictator,Dictator,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Public_Goods,Public_Goods,Public_Goods,Public_Goods,Coin_Tossing,Coin_Tossing,Coin_Tossing
Code,Label,Dictador,Decisión,Resultado,Payoff_Dictator,trustor,sent_amount_strategy,trustee,trust.1.player.sent_back_amount_strategy_9,trust.1.player.sent_back_amount_strategy_18,trust.1.player.sent_back_amount_strategy_27,trust.1.player.sent_back_amount_strategy_36,trust.1.player.sent_back_amount_strategy_45,trust.1.player.sent_back_amount_strategy_54,trust.1.player.sent_back_amount_strategy_63,trust.1.player.sent_back_amount_strategy_72,trust.1.player.sent_back_amount_strategy_81,trust.1.player.sent_back_amount_strategy_90,trust.1.player.sent_back_amount_strategy_99,sent_amount,sent_back_amount,Payoff_Trust,Contribution,Total Contribution,Individual Share,Payoff_Public_Goods,Num Lies,% Lies,Payoff_Coin_Tossing
kv4r54uk,fqt6ryv,0,50,70.0,30.0,0,,0,3.0,9.0,12.0,18.0,18.0,27.0,27.0,30.0,39.0,45.0,45.0,0.0,0.0,0.0,10,75,37.5,67.5,0,0.0,40.0
wbig3atg,ml32352,1,60,60.0,60.0,0,,0,0.0,3.0,6.0,9.0,15.0,15.0,18.0,24.0,24.0,27.0,57.0,12.0,9.0,27.0,10,73,36.5,66.5,1,20.0,60.0
tydklupb,vfmr8ua,0,100,51.0,49.0,0,9.0,0,,,,,,,,,,,,9.0,21.0,45.0,10,62,31.0,61.0,0,0.0,40.0
l6sublg9,i2yzqau,1,50,50.0,50.0,0,12.0,0,,,,,,,,,,,,12.0,9.0,30.0,10,75,37.5,67.5,0,0.0,40.0
83ywishr,g2lf7ld,1,50,50.0,50.0,0,,0,3.0,6.0,9.0,12.0,21.0,9.0,27.0,24.0,27.0,30.0,33.0,12.0,12.0,24.0,30,73,36.5,46.5,1,20.0,60.0
64h8cvzr,nxu518h,0,50,60.0,40.0,0,,0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0,12.0,12.0,24.0,30,62,31.0,41.0,0,0.0,40.0
htj25the,8y3kju4,1,80,80.0,80.0,0,,0,3.0,3.0,6.0,9.0,9.0,12.0,9.0,12.0,18.0,12.0,9.0,15.0,9.0,36.0,15,75,37.5,62.5,0,0.0,40.0
v61xznyo,7rdum7b,1,51,51.0,51.0,0,,0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,30.0,27.0,30.0,33.0,15.0,15.0,30.0,19,81,40.5,61.5,0,0.0,40.0
3hqni9oa,bt4ibwe,1,70,70.0,70.0,0,15.0,0,,,,,,,,,,,,15.0,15.0,33.0,12,62,31.0,59.0,2,40.0,80.0
tkesmeku,k284ae0,0,70,50.0,50.0,0,12.0,0,,,,,,,,,,,,12.0,12.0,33.0,20,81,40.5,60.5,0,0.0,40.0
1krfze7q,7hpqfg0,0,100,75.0,25.0,0,0.0,0,,,,,,,,,,,,0.0,0.0,33.0,40,75,37.5,37.5,2,40.0,80.0
jdlgvmou,67r2f1d,1,50,50.0,50.0,0,,0,0.0,3.0,6.0,9.0,15.0,18.0,21.0,24.0,27.0,30.0,36.0,9.0,6.0,21.0,28,73,36.5,48.5,2,40.0,80.0
pmjsbunz,xcp2snp,0,50,50.0,50.0,0,9.0,0,,,,,,,,,,,,9.0,0.0,24.0,10,62,31.0,61.0,2,40.0,80.0
txyxbnb4,tozmgsp,0,50,100.0,0.0,0,15.0,0,,,,,,,,,,,,15.0,9.0,27.0,15,66,33.0,58.0,2,40.0,40.0
5vsjocsy,8tgfwa2,0,50,50.0,50.0,0,9.0,0,,,,,,,,,,,,9.0,9.0,33.0,5,73,36.5,71.5,2,40.0,80.0
pdm2m5wz,n1om6y8,1,100,100.0,100.0,0,,0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,9.0,0.0,27.0,1,66,33.0,72.0,0,0.0,40.0
a6m5eyns,fp7tjpd,1,70,70.0,70.0,0,12.0,0,,,,,,,,,,,,12.0,12.0,33.0,20,81,40.5,60.5,1,20.0,60.0
